PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40057889,Efficient large-scale expansion of cord blood-derived NK cells: leveraging lipopolysaccharide for enhanced NK cell production.,2025,"Hataiwan Kunkanjanawan, Rangsun Parnpai","Embryo Technology and Stem Cell Research Center, School of Biotechnology, Suranaree University of Technology, Nakhon Ratchasima, Thailand; Medeze Research and Development Co., Ltd., Nakhon Pathom, Thailand. Electronic address: hataiwan@medezegroup.com., Embryo Technology and Stem Cell Research Center, School of Biotechnology, Suranaree University of Technology, Nakhon Ratchasima, Thailand. Electronic address: rangsun@g.sut.ac.th.",N/A
40057858,Sexual Health Outcomes in Sexual Minority and Heterosexual Men After Prostate Radiation Therapy.,2025,N/A,N/A,N/A
40057846,Defeating lethal cancer: Interrupting the ecologic and evolutionary basis of death from malignancy.,2025,Kenneth J Pienta,"Urology, Oncology, Pharmacology and Molecular Sciences, and Chemical and Biomolecular Engineering, Cancer Ecology Center at the Brady Urological Institute, Johns Hopkins University, Baltimore, Maryland, USA.",N/A
40057825,CAR T Cell Therapy for Glioblastoma: A Review of the First Decade of Clinical Trials.,2025,N/A,N/A,N/A
40057821,Antioxidant Properties of Aronia melanocarpa and Morinda citrifolia Juices and their Impact on Bladder Cancer Cell Lines.,2025,Elżbieta Wojtowicz,"Department of Food Concentrates and Starch Products, Prof. Wacław Dąbrowski Institute of Agricultural and Food Biotechnology, Poznań, Poland.",N/A
40057816,"Lactylation modification in cancer: mechanisms, functions, and therapeutic strategies.",2025,N/A,N/A,N/A
40057791,Bridging epigenomics and tumor immunometabolism: molecular mechanisms and therapeutic implications.,2025,N/A,N/A,N/A
40057744,IL-19 as a promising theranostic target to reprogram the glioblastoma immunosuppressive microenvironment.,2025,Shiu-Wen Huang,"Department of Pharmacology, School of Medicine, College of Medicine, Taipei Medical University, Taipei, Taiwan.Graduate Institute of Medical Sciences, College of Medicine, Taipei Medical University, Taipei, Taiwan.",N/A
40057671,Single-cell analysis reveals transcriptomic features and therapeutic targets in primary pulmonary lymphoepithelioma-like carcinoma.,2025,"Binghua Tan, Ke Xu, Yingcheng Lyu, Yicheng Liang, Ruihao Liang, Kai Lei, Jialu Liang, Jing Huang, Kefeng Wang, Duoguang Wu, Wenjian Wang, Xueting Hu, Kexi Wang, Minghui Wang, Huayue Lin","Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China.Department of Thoracic Surgery, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China., Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China.Department of Thoracic Surgery, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China., Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China.Department of Thoracic Surgery, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China., Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China.Department of Thoracic Surgery, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China., Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China.Department of Thoracic Surgery, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China., Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China.Department of Thoracic Surgery, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China., Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China.Department of Thoracic Surgery, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China., Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China.Department of Thoracic Surgery, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China., Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China.Department of Thoracic Surgery, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China., Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China.Department of Thoracic Surgery, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China., Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China.Department of Thoracic Surgery, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China., Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China.Department of Thoracic Surgery, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China., Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China.Department of Thoracic Surgery, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China., Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China. wmingh@mail.sysu.edu.cn.Department of Thoracic Surgery, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China. wmingh@mail.sysu.edu.cn., Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China. linhy29@mail.sysu.edu.cn.Breast Tumor Center, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China. linhy29@mail.sysu.edu.cn.",N/A
40057669,"Regulatory, Translational, and Operational Considerations for the Incorporation of Biomarkers in Drug Development.",2025,N/A,N/A,N/A
